Time,Abs,Temp
936,0.117847554,303.641694
939,0.116380736,303.589852
940,0.116838135,303.588155
941,0.117179953,303.546148
942,0.11790783,303.559698
943,0.115634367,303.539943
945,0.114774227,303.5409
946,0.115001261,303.498352
947,0.115879498,303.490684
949,0.113315553,303.476644
953,0.113992818,303.413559
955,0.11313118,303.402549
956,0.113820233,303.393898
958,0.111610726,303.340053
959,0.11582569,303.360044
960,0.112604894,303.309247
961,0.115798414,303.280749
963,0.115688019,303.296654
964,0.112757459,303.272299
967,0.113021255,303.252725
968,0.110547796,303.224885
969,0.109349459,303.236572
972,0.121703334,303.206148
974,0.112055622,303.145697
976,0.113644622,303.130782
978,0.121082261,303.131814
980,0.120445341,303.087648
981,0.120229818,303.0837
982,0.121613421,303.077045
983,0.121226102,303.035729
986,0.123339929,303.023493
988,0.118766889,303.003179
990,0.122560881,302.990695
992,0.113971278,302.941417
994,0.120590642,302.948822
995,0.118262656,302.889754
996,0.122792542,302.925451
998,0.118286751,302.894959
1000,0.115826301,302.840039
1003,0.114987031,302.829727
1004,0.110986896,302.823408
1005,0.109636545,302.810573
1006,0.118609168,302.785657
1009,0.12058726,302.770997
1011,0.112684242,302.741669
1012,0.112460591,302.708327
1013,0.111707464,302.691809
1017,0.110857695,302.666701
1021,0.114636347,302.624694
1024,0.110740699,302.588158
1025,0.112651929,302.600294
1028,0.11043863,302.560917
1031,0.110226743,302.504128
1032,0.11205525,302.49371
1033,0.108263753,302.490827
1034,0.114805989,302.476616
1035,0.108090602,302.433881
1037,0.10981261,302.42632
1038,0.109318629,302.476802
1040,0.107134566,302.394521
1041,0.112248957,302.391743
1042,0.106935471,302.398778
1043,0.105507441,302.398222
1044,0.107236445,302.369496
1046,0.109774277,302.31987
1048,0.108774692,302.332941
1049,0.104881831,302.313329
1050,0.109057874,302.30251
1052,0.108537823,302.317884
1053,0.108902238,302.281486
1055,0.108171858,302.254883
1056,0.107619003,302.240937
1058,0.106189184,302.22428
1059,0.108825073,302.23286
1061,0.111514837,302.171556
1062,0.10751053,302.152543
1063,0.10858994,302.168337
1064,0.111592278,302.14925
1066,0.105175242,302.129878
1067,0.108285636,302.11025
1069,0.107278295,302.10814
1071,0.106402315,302.049136
1072,0.106116369,302.044176
