Time,Abs1,Temp1,Abs2,Temp2
685,0.332840234,293.969391,0.138583005,306.399588
687,0.336818785,294.034906,0.135495931,306.401023
690,0.331709325,294.06742,0.137181804,306.370753
692,0.329939514,294.049403,0.137345076,306.357821
693,0.330269516,294.105902,0.137260273,306.305028
694,0.32911545,294.130932,0.136150613,306.33195
698,0.328180343,294.144677,0.134517133,306.263831
700,0.326852411,294.196619,0.138224855,306.216873
702,0.32714653,294.204722,0.141354501,306.208614
704,0.327553839,294.219213,0.140777439,306.171831
706,0.327119231,294.239415,0.14369598,306.145035
709,0.324855208,294.286084,0.146545649,306.099477
711,0.325181603,294.328143,0.146536395,306.091947
717,0.321481794,294.412436,0.130698383,306.00976
720,0.319478512,294.429753,0.142709836,306.005386
722,0.31817919,294.460202,0.145858124,305.95855
723,0.319697052,294.489509,0.140094757,305.968691
725,0.318222523,294.520086,0.134534165,305.924886
726,0.31872496,294.520086,0.138024405,305.918411
729,0.318617165,294.567118,0.137332603,305.888185
732,0.3177647,294.598457,0.136656597,305.835495
737,0.315916926,294.678199,0.134877712,305.756589
738,0.316529036,294.665274,0.134574547,305.761782
740,0.316124916,294.691658,0.130206138,305.751967
743,0.31534341,294.729541,0.136190385,305.703313
744,0.314257026,294.767171,0.135405332,305.691033
746,0.312451273,294.777822,0.130542606,305.65405
748,0.313080311,294.802596,0.129919142,305.646852
750,0.316337735,294.825997,0.133361697,305.600296
752,0.31310156,294.818283,0.132084966,305.587054
754,0.314690948,294.856898,0.131428838,305.566847
755,0.311913639,294.928537,0.129283741,305.523603
759,0.3102009,294.943573,0.129517585,305.480317
763,0.309775978,295.015595,0.129402414,305.459896
767,0.309004277,295.069999,0.130871937,305.420805
768,0.308921039,295.084288,0.13041909,305.380807
769,0.305844039,295.072927,0.128442437,305.393359
770,0.301579267,295.07228,0.129888862,305.345124
771,0.304317564,295.105716,0.126290426,305.316118
774,0.319551706,295.142202,0.125791907,305.352233
776,0.320313692,295.170921,0.125434473,305.275022
778,0.320908248,295.21861,0.124834649,305.277876
779,0.31940037,295.202836,0.126686409,305.250557
782,0.319051087,295.239761,0.130588085,305.229881
787,0.319897205,295.316775,0.129320025,305.17587
788,0.299815565,295.330831,0.129978359,305.158526
790,0.316536814,295.369655,0.128483117,305.136701
792,0.314769983,295.369806,0.125474528,305.095098
794,0.302019447,295.386982,0.125329554,305.026408
800,0.314245045,295.471707,0.121224187,305.018701
803,0.308870375,295.50814,0.126798704,304.975685
805,0.310328215,295.568186,0.122739658,304.951975
809,0.304020494,295.641606,0.121009231,304.885338
811,0.300336123,295.666849,0.122296862,304.879588
814,0.302721232,295.662368,0.122796737,304.8421
816,0.300937802,295.698761,0.11822068,304.812067
822,0.293109745,295.781498,0.124469727,304.731413
823,0.29672575,295.780657,0.128994063,304.706256
824,0.298095822,295.808866,0.12532571,304.717489
827,0.297396928,295.8656,0.124596968,304.675346
833,0.291234165,295.932733,0.126455128,304.586939
835,0.291701883,295.973784,0.128349409,304.582737
837,0.292899877,296.004139,0.123136088,304.537662
838,0.291533947,296.009144,0.124908403,304.525402
839,0.291674048,296.021668,0.129007161,304.522494
840,0.29304117,296.034793,0.127094343,304.519722
842,0.291122019,296.076526,0.124761745,304.49655
844,0.288874149,296.086382,0.127321214,304.443759
845,0.292983323,296.105589,0.12610957,304.440936
847,0.294962496,296.149271,0.123174347,304.438268
848,0.288443118,296.133164,0.123959005,304.398744
851,0.289888114,296.199588,0.124120474,304.365059
854,0.290038168,296.177765,0.12465553,304.31335
856,0.289772242,296.260172,0.12728405,304.324937
858,0.288363159,296.340799,0.12511228,304.285065
859,0.289608657,296.340799,0.121666856,304.255213
862,0.288561732,296.323483,0.121276379,304.2088
864,0.287326694,296.350256,0.121263064,304.173807
867,0.288081765,296.408754,0.121389642,304.160385
869,0.283867508,296.424908,0.119179189,304.150903
871,0.285450906,296.483823,0.123656064,304.123502
873,0.279978842,296.523542,0.119655438,304.077114
874,0.282479465,296.480765,0.118410796,304.10969
878,0.278517276,296.527977,0.117791429,304.02633
880,0.278990775,296.587737,0.119306967,304.00353
883,0.280042768,296.621592,0.117726617,304.00055
892,0.277029693,296.743103,0.117907994,303.858746
898,0.278997153,296.846322,0.119004667,303.78242
900,0.281317055,296.86869,0.118376292,303.764187
901,0.279942393,296.916257,0.115132541,303.738684
904,0.277975023,296.930027,0.118032411,303.724126
906,0.280215323,296.926128,0.116317391,303.686642
915,0.279738903,297.104571,0.116380736,303.589852
916,0.27622354,297.063304,0.116838135,303.588155
918,0.278247535,297.123867,0.11790783,303.559698
919,0.276637286,297.106779,0.115634367,303.539943
921,0.276734054,297.157658,0.114774227,303.5409
922,0.276305765,297.137931,0.115001261,303.498352
923,0.276837558,297.185022,0.115879498,303.490684
925,0.276645929,297.207229,0.113315553,303.476644
929,0.275109142,297.279876,0.113992818,303.413559
932,0.276937515,297.286868,0.113820233,303.393898
935,0.270796806,297.338671,0.11582569,303.360044
937,0.271752715,297.369683,0.115798414,303.280749
940,0.270522267,297.443711,0.112757459,303.272299
943,0.271096021,297.423059,0.113021255,303.252725
948,0.270175189,297.506806,0.121703334,303.206148
952,0.265477449,297.597052,0.113644622,303.130782
954,0.263147831,297.618572,0.121082261,303.131814
957,0.262836218,297.628272,0.120229818,303.0837
958,0.265711635,297.653415,0.121613421,303.077045
962,0.260944873,297.700066,0.123339929,303.023493
964,0.263779312,297.781397,0.118766889,303.003179
966,0.26066649,297.779323,0.122560881,302.990695
968,0.261223048,297.803202,0.113971278,302.941417
970,0.258177102,297.832453,0.120590642,302.948822
972,0.25992766,297.834058,0.122792542,302.925451
