Time (min),Abs
33.71666945,0.145939186
33.73333587,0.144636467
33.75000228,0.146915808
33.76666869,0.153724134
33.7833351,0.155015245
33.80000152,0.151664481
33.81666793,0.147599667
33.83333434,0.147244975
33.85000075,0.152219683
33.86666717,0.149231553
33.88333358,0.149775639
33.89999999,0.149783716
33.91667022,0.147743657
33.93333663,0.146121219
33.95000304,0.148807302
33.96666945,0.146735326
33.98333587,0.145808145
34.00000228,0.146507993
34.01666869,0.149280861
34.0333351,0.14573203
34.05000152,0.150449768
34.06666793,0.150479868
34.08333434,0.143137753
34.10000075,0.143599883
34.11666717,0.144388139
34.13333358,0.147452489
34.14999999,0.146576434
34.16667022,0.147441074
34.18333663,0.147495717
34.20000304,0.143208161
34.21666945,0.143619075
34.23333587,0.145833671
34.25000228,0.14323245
34.26666869,0.142160058
34.2833351,0.14284794
34.30000152,0.145133317
34.31666793,0.146653429
34.33333434,0.144794866
34.35000075,0.143633321
34.36666717,0.143824905
34.38333358,0.145135194
34.39999999,0.144632682
34.41667022,0.143246785
34.43333663,0.144132793
34.45000304,0.144590825
34.46666945,0.148042649
34.48333587,0.143414393
34.50000228,0.142994821
34.51666869,0.145899162
34.5333351,0.143914357
34.55000152,0.142466277
34.56666793,0.145226181
34.58333434,0.144690469
34.60000075,0.147092044
34.61666717,0.143826559
34.63333358,0.14502883
34.64999999,0.143850431
34.66667022,0.143606216
34.68333663,0.142858937
34.70000304,0.143966168
34.71666945,0.14360261
34.73333587,0.143224493
34.75000228,0.141003117
34.76666869,0.143707484
34.7833351,0.141057596
34.80000152,0.141631916
34.81666793,0.142340615
34.83333434,0.141486615
34.85000075,0.141227379
34.86666717,0.141135126
34.88333358,0.142176002
34.89999999,0.142965093
34.91667022,0.142593473
34.93333663,0.141951114
34.95000304,0.143102735
34.96666945,0.141660869
34.98333587,0.142736226
35.00000228,0.1430531
35.01666869,0.142954305
35.0333351,0.141309202
35.05000152,0.139760032
35.06666793,0.141544342
35.08333434,0.140784413
35.10000075,0.138374299
35.11666717,0.141713336
35.13333358,0.141691566
35.14999999,0.140439466
35.16667022,0.142417789
35.18333663,0.14001064
35.20000304,0.140698582
35.21666945,0.140959397
35.23333587,0.141111121
35.25000228,0.139127314
35.26666869,0.141074076
35.2833351,0.139868543
35.30000152,0.141797945
35.31666793,0.140523717
35.33333434,0.140489757
35.35000075,0.138791904
35.36666717,0.139263094
35.38333358,0.138550669
35.39999999,0.140461534
35.41667022,0.138448998
35.43333663,0.138817817
35.45000304,0.139079198
35.46666945,0.138845891
35.48333587,0.139862835
35.50000228,0.138104618
35.51666869,0.138965979
35.5333351,0.139879048
35.55000152,0.138459757
35.56666793,0.138428807
35.58333434,0.136756778
35.60000075,0.139610395
35.61666717,0.137361869
35.63333358,0.138441414
35.64999999,0.138863072
35.66667022,0.138514951
35.68333663,0.139734075
35.70000304,0.139425248
35.71666945,0.138032481
35.73333587,0.138135433
35.75000228,0.137500972
35.76666869,0.1376241
35.7833351,0.138333648
35.80000152,0.135589868
35.81666793,0.140798599
35.83333434,0.139665052
35.85000075,0.138299763
35.86666717,0.139599115
35.88333358,0.139498621
35.89999999,0.138163641
35.91667022,0.139556348
35.93333663,0.139158472
35.95000304,0.137753338
35.96666945,0.137837157
35.98333587,0.136893809
36.00000228,0.136911765
36.01666869,0.136563465
36.0333351,0.137365848
36.05000152,0.137560174
36.06666793,0.137466759
36.08333434,0.136720359
36.10000075,0.137623563
36.11666717,0.138552055
36.13333358,0.134622499
36.14999999,0.137443215
36.16667022,0.137172863
