Time (sec),Abs,Temperature
1935,0.118114591,310.909
1936,0.118684515,310.909
1937,0.120409712,310.91198
1938,0.117925383,310.955379
1939,0.119071096,310.955379
1940,0.118196011,310.963114
1941,0.119275764,310.998895
1942,0.117906638,311.007517
1943,0.119043179,311.007517
1944,0.120182663,311.007517
1945,0.116502918,311.048057
1946,0.119859114,311.048057
1947,0.117849693,311.048057
1948,0.117654011,311.04103
1949,0.118996128,311.04103
1950,0.118908875,311.094617
1951,0.119590014,311.096538
1952,0.11896348,311.1274
1953,0.118880451,311.13944
1954,0.119325265,311.13944
1955,0.118639134,311.17253
1956,0.118570052,311.16176
1957,0.117535546,311.16176
1958,0.116909728,311.187214
1959,0.119837046,311.187214
1960,0.119156711,311.203272
1961,0.120115586,311.203272
1962,0.11872194,311.236137
1963,0.117474064,311.217287
1964,0.119037256,311.217287
1965,0.117480815,311.276463
1966,0.118193902,311.248116
1967,0.117952995,311.293764
1968,0.117474333,311.303317
1969,0.11743132,311.303317
1970,0.120353051,311.303317
1971,0.118746333,311.338023
1972,0.118145272,311.354386
1973,0.11800918,311.328429
1974,0.120624647,311.328429
1975,0.118318327,311.342197
1976,0.117589772,311.368056
1977,0.117654964,311.385492
1978,0.119118266,311.385492
1979,0.118936822,311.425399
1980,0.119010598,311.460194
1981,0.118800983,311.474414
1982,0.118981041,311.474414
1983,0.120906942,311.474414
1984,0.11998795,311.510833
1985,0.121801838,311.510833
1986,0.121732153,311.510833
1987,0.120665759,311.510833
1988,0.118617021,311.554746
1989,0.122939222,311.554746
1990,0.120410636,311.54161
1991,0.12273176,311.571338
1992,0.120968707,311.571338
1993,0.121129371,311.617029
1994,0.120546877,311.617029
1995,0.120563515,311.607691
1996,0.120626085,311.621736
1997,0.123480119,311.648053
1998,0.119427115,311.648053
1999,0.121064887,311.667447
2000,0.121594206,311.672985
2001,0.120997019,311.703021
2002,0.120635681,311.703021
2003,0.121877819,311.703021
2004,0.119817361,311.742927
2005,0.120066948,311.737797
2006,0.12198671,311.737797
2007,0.121010229,311.765522
2008,0.122568816,311.765522
2009,0.12119928,311.801836
2010,0.122370862,311.765512
2011,0.122885145,311.765512
2012,0.120681651,311.765512
2013,0.122133285,311.833085
2014,0.122659996,311.799755
2015,0.121524751,311.799755
2016,0.121544957,311.84605
2017,0.121760927,311.848139
2018,0.122379951,311.848139
2019,0.120215952,311.837196
2020,0.122069165,311.922292
2021,0.120919325,311.922292
2022,0.121255398,311.908978
2023,0.125274837,311.908978
2024,0.122459494,311.908978
2025,0.121936597,311.908978
2026,0.122109212,311.946762
2027,0.122435339,311.965925
2028,0.121457189,311.97007
2029,0.12182004,311.97007
2030,0.121531494,312.011702
2031,0.123699606,312.029091
2032,0.12245068,312.029091
2033,0.121549167,312.016666
2034,0.12074396,312.060902
2035,0.120959468,312.037581
2036,0.122134589,312.071399
2037,0.123187579,312.072285
2038,0.122879103,312.072285
2039,0.121478111,312.072285
2040,0.120731488,312.116475
2041,0.121624343,312.116475
2042,0.120576292,312.15642
2043,0.120388813,312.151805
2044,0.122179307,312.151805
2045,0.121644244,312.160116
2046,0.121267684,312.160116
2047,0.123232104,312.160116
2048,0.122629747,312.188474
2049,0.123195663,312.188474
2050,0.123135023,312.228146
2051,0.121487528,312.219333
2052,0.122223929,312.219333
2053,0.121373385,312.256298
2054,0.121478424,312.256298
2055,0.121712208,312.28712
2056,0.120419309,312.28712
2057,0.123577133,312.302899
2058,0.122112952,312.302899
2059,0.120142251,312.288394
2060,0.121740781,312.288394
2061,0.12084543,312.339004
2062,0.123465739,312.339004
2063,0.123893239,312.339004
2064,0.123394676,312.349488
2065,0.121059924,312.378713
2066,0.122476555,312.378713
2067,0.121510707,312.406743
2068,0.123119906,312.406743
2069,0.121692136,312.447745
2070,0.120868884,312.447745
2071,0.124221973,312.443222
2072,0.12073388,312.4488
2073,0.122156128,312.4488
2074,0.120799787,312.471946
2075,0.121593311,312.477954
2076,0.123826377,312.479512
2077,0.122443713,312.512391
2078,0.122944444,312.512391
2079,0.123351619,312.512391
2080,0.120941006,312.512391
2081,0.12075001,312.532182
2082,0.121098414,312.532182
2083,0.12256404,312.569415
2084,0.122386232,312.569415
2085,0.122493401,312.589374
2086,0.12192443,312.58801
2087,0.122319333,312.599998
2088,0.12206769,312.599998
2089,0.120865092,312.613374
2090,0.122297786,312.622034
2091,0.122992992,312.642469
2092,0.121340759,312.642469
2093,0.120520227,312.646966
2094,0.121017166,312.646966
2095,0.122824587,312.69849
2096,0.120529145,312.693426
2097,0.121421687,312.693426
2098,0.121682473,312.693426
2099,0.117791526,312.712942
2100,0.121278293,312.760183
2101,0.121215805,312.737633
2102,0.118953399,312.737633
2103,0.120436393,312.737633
2104,0.119811498,312.766787
2105,0.121152535,312.790536
2106,0.11970219,312.791379
2107,0.119954236,312.800847
2108,0.119320564,312.800847
2109,0.117886804,312.827441
2110,0.120003134,312.827441
2111,0.119226605,312.827441
2112,0.120664664,312.848485
2113,0.119216524,312.848485
2114,0.120185532,312.848485
2115,0.120120503,312.871402
2116,0.118671551,312.896605
2117,0.119331129,312.896605
2118,0.11931099,312.889458
2119,0.11933133,312.889458
2120,0.120190725,312.943423
2121,0.118047357,312.943423
2122,0.117290221,312.943423
2123,0.119969115,312.953756
2124,0.119515188,312.966158
2125,0.118806429,312.966158
2126,0.117842287,313.000918
2127,0.117713824,312.992272
2128,0.119835407,312.992272
2129,0.119412772,313.02901
2130,0.119871162,313.02901
2131,0.120363265,313.015993
2132,0.117737241,313.015993
2133,0.120315626,313.078589
2134,0.119811088,313.061551
2135,0.118672714,313.061551
