Time temp,Abs,Reactor Temperature (C)
2121,0.045031426,314.280697
2124,0.044107272,314.296136
2126,0.042238018,314.321483
2128,0.046302238,314.328932
2130,0.04628251,314.350879
2131,0.045401632,314.361037
2134,0.043888303,314.392
2135,0.04499357,314.409391
2137,0.043480639,314.433991
2140,0.045265539,314.425189
2141,0.043494404,314.407094
2142,0.044023329,314.454517
2144,0.044890464,314.491485
2146,0.045783501,314.484569
2147,0.045465996,314.505851
2149,0.044537622,314.529894
2150,0.04469614,314.520991
2152,0.043876206,314.568403
2155,0.045065935,314.559875
2158,0.04591237,314.577857
2159,0.046209494,314.58599
2160,0.046055193,314.614713
2162,0.04536513,314.613548
2163,0.047015883,314.615425
2165,0.045901242,314.643462
2166,0.044005098,314.650582
2168,0.044813956,314.665919
2169,0.046959794,314.670207
2171,0.045501058,314.672877
2173,0.045570715,314.707718
2176,0.045608766,314.72806
2178,0.045827514,314.740844
2179,0.046653537,314.733401
2181,0.046166301,314.764094
2182,0.046485589,314.768035
2183,0.045889432,314.741218
2186,0.0442781,314.784093
2188,0.043668359,314.769879
2190,0.051673953,314.82531
2192,0.04480325,314.871082
2194,0.044448205,314.875857
2196,0.047162837,314.867314
2198,0.043902649,314.904107
2199,0.04541901,314.913822
2201,0.044738842,314.9171
2203,0.046497105,314.916137
2204,0.043950676,314.938508
2206,0.046162812,314.940938
2207,0.046066749,314.976332
2209,0.046289684,314.965952
2211,0.046744872,315.000985
2213,0.046711702,314.968481
2215,0.046347353,315.021489
2216,0.046929567,315.021489
2217,0.045000016,315.024429
2218,0.046238123,315.04179
2219,0.044182887,315.063686
2222,0.047664168,315.079997
2223,0.046458086,315.084446
2226,0.045318185,315.120972
2227,0.045305299,315.095625
2228,0.046349688,315.106336
2229,0.046354566,315.119731
2231,0.044949749,315.170158
2234,0.046560663,315.13146
2235,0.045797298,315.20586
2236,0.047283216,315.178795
2238,0.044771811,315.172858
2239,0.04573152,315.172858
2241,0.045765682,315.214607
2243,0.046622511,315.191468
2244,0.045936222,315.252912
2246,0.049626529,315.242587
2248,0.046870326,315.25955
2249,0.047073112,315.291193
2250,0.045963477,315.294896
2253,0.047412682,315.316275
2254,0.045510608,315.317418
2255,0.045680427,315.314874
2257,0.046514095,315.333388
2259,0.04718419,315.353377
2262,0.046702794,315.375608
2264,0.048152373,315.379426
2265,0.047822735,315.385643
2266,0.046259293,315.38653
2267,0.04672446,315.434917
2268,0.047140127,315.392961
2271,0.048568206,315.465617
2272,0.047408689,315.446081
2273,0.048565947,315.469598
2275,0.049247357,315.490399
2277,0.046831602,315.503611
2278,0.048038907,315.506363
2279,0.047960434,315.496335
2281,0.048285733,315.51711
2284,0.048882915,315.509802
2286,0.048214118,315.533279
2288,0.046960617,315.557762
2291,0.048968256,315.563558
2293,0.050554669,315.600925
2294,0.046996842,315.566158
2296,0.049715613,315.607061
2298,0.047024291,315.615555
2300,0.048320007,315.641755
2301,0.048353865,315.651899
2302,0.048398659,315.628444
2305,0.048178565,315.641997
2307,0.049793968,315.708248
2309,0.048728548,315.694097
2310,0.050047087,315.67854
2312,0.049193658,315.699953
2315,0.048551049,315.738134
2317,0.048821849,315.786557
2318,0.051524449,315.75228
2319,0.04882408,315.739342
2321,0.050284037,315.759778
2322,0.052607048,315.781655
2325,0.04739917,315.80916
2326,0.054206854,315.788742
2328,0.054450822,315.801761
2331,0.053141957,315.851492
2332,0.054577147,315.856784
2334,0.052430204,315.865758
2335,0.049715756,315.877433
2338,0.054283185,315.840153
2340,0.053651679,315.907215
2342,0.053188179,315.909768
2343,0.053815131,315.937566
2345,0.054924724,315.940644
2346,0.05596659,315.93757
2347,0.053787888,315.94227
2348,0.057457936,315.929911
2349,0.056110605,315.941092
2351,0.05689394,315.986031
2353,0.055494807,315.983622
2355,0.055426601,315.981012
2357,0.056758939,315.989007
2358,0.054288126,316.008432
2359,0.054856322,315.996284
2361,0.057311959,316.033922
2362,0.05715276,315.999653
2363,0.05730749,316.061179
2366,0.056905486,316.076469
2367,0.057863901,316.056698
2368,0.05610849,316.072624
2370,0.056263047,316.102189
2371,0.056429024,316.089855
2372,0.055838748,316.111508
2374,0.057215625,316.133169
2375,0.057110544,316.110121
2379,0.05857155,316.143545
2382,0.049942398,316.174419
2385,0.049977225,316.17533
2387,0.055468603,316.210108
2389,0.057918381,316.221816
2392,0.059300632,316.232498
2394,0.057769337,316.236839
2395,0.057155063,316.244682
2396,0.058898636,316.247521
2398,0.050013027,316.228856
2399,0.050373151,316.277703
2401,0.056491138,316.272687
2402,0.057743603,316.292786
2403,0.058403539,316.294595
2405,0.053609637,316.303434
2407,0.053396411,316.33436
2409,0.054926411,316.326719
2410,0.058615271,316.355687
2411,0.056475803,316.324282
2412,0.058627908,316.3507
2414,0.05723723,316.363221
2417,0.057459268,316.354461
2419,0.054966319,316.37801
2420,0.056059565,316.405019
2421,0.05613804,316.405396
2422,0.055551622,316.411276
2424,0.05866472,316.433658
2425,0.055515512,316.406433
2427,0.057236622,316.454305
2430,0.056059419,316.448716
2432,0.057121981,316.458938
2434,0.059139464,316.472195
2435,0.056388606,316.504225
2437,0.05234823,316.504627
2440,0.061554046,316.498547
2441,0.055768438,316.538423
2444,0.058471458,316.526734
2446,0.057229229,316.563099
2447,0.05466314,316.563099
2448,0.055510393,316.54547
2449,0.056080784,316.562455
2450,0.055938142,316.57154
2452,0.058442821,316.592541
2454,0.057078803,316.595406
2455,0.056819376,316.607741
2458,0.057055777,316.631541
2459,0.0539679,316.611361
2461,0.059195333,316.655778
2462,0.059213218,316.60206
2463,0.056513111,316.626622
2465,0.055113443,316.647855
2466,0.055698842,316.661873
2467,0.057923835,316.678559
2470,0.057716832,316.673833
2471,0.056863124,316.670984
2473,0.057000012,316.684743
2475,0.058036263,316.712691
2476,0.059251809,316.685543
2477,0.058926223,316.711605
2479,0.057184179,316.740252
2481,0.058205964,316.752185
2483,0.058271929,316.777974
2485,0.056850497,316.763832
2486,0.057419893,316.769651
2488,0.057668249,316.813578
2489,0.056182056,316.77281
2491,0.058347309,316.787931
2492,0.056639009,316.812779
2493,0.057771642,316.812546
2495,0.058602102,316.781961
2496,0.057522755,316.820663
2497,0.056762708,316.820663
2499,0.05750345,316.878394
2501,0.058802906,316.822745
2502,0.056436478,316.843985
2504,0.05778892,316.859748
2505,0.056304501,316.875247
2507,0.058491285,316.862218
2508,0.060023235,316.862218
2510,0.057951115,316.906474
2513,0.056616613,316.919137
2514,0.056784061,316.932623
2516,0.058195624,316.92343
2518,0.058617901,316.945101
2519,0.054964951,316.950639
2520,0.058107435,316.958611
2521,0.057473565,316.955035
2523,0.056685447,316.984328
2524,0.058081508,317.015875
2526,0.056534171,316.989915
2527,0.056497094,316.986318
2528,0.059904751,316.991193
2531,0.058671765,317.00636
2533,0.058589804,317.041855
2534,0.056575386,317.025246
2536,0.058098314,317.022621
2538,0.059083232,317.041773
2541,0.059054107,317.048723
2543,0.058023901,317.100051
2546,0.059954532,317.114757
2549,0.059077624,317.111682
2550,0.058910048,317.14067
2552,0.05923124,317.143172
2553,0.05941236,317.151591
2555,0.059933475,317.13703
2556,0.058958207,317.154326
2558,0.058576594,317.149138
2561,0.057750949,317.189983
